Loaded HAL Components:
ID      Type  Name                                            PID   State
    48  User  halcmd5739                                       5739 ready
    46  User  axisui                                           5645 ready
    44  User  inihal                                           5642 ready
    33  RT    pid                                                   ready
    30  RT    hm2_eth                                               ready
    27  RT    hostmot2                                              ready
    24  RT    __servo-thread                                        ready
    23  RT    motmod                                                ready
    20  RT    trivkins                                              ready
    15  RT    homemod                                               ready
    10  RT    tpmod                                                 ready
     4  User  iocontrol                                        5599 ready

Component Pins:
Owner   Type  Dir         Value  Name
    23  float OUT             0  axis.a.eoffset
    23  bit   IN          FALSE  axis.a.eoffset-clear
    23  s32   IN              0  axis.a.eoffset-counts
    23  bit   IN          FALSE  axis.a.eoffset-enable
    23  float OUT             0  axis.a.eoffset-request
    23  float IN              0  axis.a.eoffset-scale
    23  float IN              1  axis.a.jog-accel-fraction
    23  s32   IN              0  axis.a.jog-counts
    23  bit   IN          FALSE  axis.a.jog-enable
    23  float IN              0  axis.a.jog-scale
    23  bit   IN          FALSE  axis.a.jog-vel-mode
    23  bit   OUT         FALSE  axis.a.kb-jog-active
    23  float OUT             0  axis.a.pos-cmd
    23  float OUT             0  axis.a.teleop-pos-cmd
    23  bit   OUT         FALSE  axis.a.teleop-tp-enable
    23  float OUT             0  axis.a.teleop-vel-cmd
    23  float OUT             0  axis.a.teleop-vel-lim
    23  bit   OUT         FALSE  axis.a.wheel-jog-active
    23  float OUT             0  axis.b.eoffset
    23  bit   IN          FALSE  axis.b.eoffset-clear
    23  s32   IN              0  axis.b.eoffset-counts
    23  bit   IN          FALSE  axis.b.eoffset-enable
    23  float OUT             0  axis.b.eoffset-request
    23  float IN              0  axis.b.eoffset-scale
    23  float IN              1  axis.b.jog-accel-fraction
    23  s32   IN              0  axis.b.jog-counts
    23  bit   IN          FALSE  axis.b.jog-enable
    23  float IN              0  axis.b.jog-scale
    23  bit   IN          FALSE  axis.b.jog-vel-mode
    23  bit   OUT         FALSE  axis.b.kb-jog-active
    23  float OUT             0  axis.b.pos-cmd
    23  float OUT             0  axis.b.teleop-pos-cmd
    23  bit   OUT         FALSE  axis.b.teleop-tp-enable
    23  float OUT             0  axis.b.teleop-vel-cmd
    23  float OUT             0  axis.b.teleop-vel-lim
    23  bit   OUT         FALSE  axis.b.wheel-jog-active
    23  float OUT             0  axis.c.eoffset
    23  bit   IN          FALSE  axis.c.eoffset-clear
    23  s32   IN              0  axis.c.eoffset-counts
    23  bit   IN          FALSE  axis.c.eoffset-enable
    23  float OUT             0  axis.c.eoffset-request
    23  float IN              0  axis.c.eoffset-scale
    23  float IN              1  axis.c.jog-accel-fraction
    23  s32   IN              0  axis.c.jog-counts
    23  bit   IN          FALSE  axis.c.jog-enable
    23  float IN              0  axis.c.jog-scale
    23  bit   IN          FALSE  axis.c.jog-vel-mode
    23  bit   OUT         FALSE  axis.c.kb-jog-active
    23  float OUT             0  axis.c.pos-cmd
    23  float OUT             0  axis.c.teleop-pos-cmd
    23  bit   OUT         FALSE  axis.c.teleop-tp-enable
    23  float OUT             0  axis.c.teleop-vel-cmd
    23  float OUT             0  axis.c.teleop-vel-lim
